source,target
1212,3074233
2865,3074123
1990,3074123
1979,3074123
1457,3074123
1212,3074123
538,3074123
51449,3073323
9965,3073323
3594,3073323
2591,3073323
1990,3073323
1663,3073323
1275,3073323
1212,3073323
508,3073323
1979,3073238
1212,3073238
1051,3073238
1663,3072828
1503,3072828
1467,3072828
1457,3072828
1212,3072828
538,3072828
49088,3072508
13799,3072508
2052,3072508
1741,3072508
1212,3072508
538,3072508
508,3072508
359,3072508
3594,3072363
1663,3072363
1503,3072363
1275,3072363
1212,3072363
538,3072363
1255,3072358
538,3072358
378,3072358
13726,3072313
2868,3072313
1212,3072313
508,3072313
378,3072313
15477,3113818
8131,3113818
2904,3113818
2865,3113818
1457,3113818
1275,3113818
51952,3071813
51449,3071813
50744,3071813
9965,3071813
1751,3071813
1663,3071813
1212,3071813
538,3071813
34221,3071768
8619,3071768
1990,3071768
1663,3071768
1503,3071768
1212,3071768
538,3071768
359,3071768
10308,3071243
1275,3071243
1231,3071243
538,3071243
1291,3071203
633,3071203
51952,3071138
46589,3071138
3178,3071138
1741,3071138
1663,3071138
1275,3071138
1242,3071138
538,3071138
508,3071138
51449,3070263
3594,3070263
1741,3070263
1663,3070263
1212,3070263
402,3070263
34221,3069643
3758,3069643
1993,3069643
1989,3069643
1275,3069643
1212,3069643
435,3069643
378,3069643
529,3069623
34221,3069573
2221,3069573
1503,3069573
1212,3069573
538,3069573
50048,3068858
34221,3068858
8619,3068858
2868,3068858
2591,3068858
1979,3068858
1663,3068858
1275,3068858
1231,3068858
1212,3068858
1070,3068858
1025,3068858
508,3068858
51449,3068408
15477,3068408
1990,3068408
1663,3068408
1275,3068408
1025,3068408
538,3068408
1979,3067673
1457,3067673
1212,3067673
51952,3067613
2591,3067613
1751,3067613
1741,3067613
1275,3067613
1212,3067613
538,3067613
508,3067613
378,3067613
9965,3067553
2591,3067553
1990,3067553
1979,3067553
1663,3067553
1212,3067553
538,3067553
13799,3067458
8619,3067458
2052,3067458
1741,3067458
1212,3067458
508,3067458
1255,3067208
1242,3067208
1979,3066658
1212,3066658
538,3066658
359,3066658
1275,3066573
1212,3066573
1070,3066573
51449,3066503
3594,3066503
2591,3066503
1741,3066503
1212,3066503
2591,3066338
1255,3066338
51449,3066198
46099,3066198
13726,3066198
1979,3066198
1751,3066198
1663,3066198
1255,3066198
1242,3066198
1212,3066198
538,3066198
508,3066198
51449,3066113
34221,3066113
1663,3066113
1503,3066113
1255,3066113
1212,3066113
538,3066113
1275,3085838
402,3085838
19471,3199439
2868,3199439
1663,3199439
1275,3199439
1212,3199439
538,3199439
378,3199439
51449,3064978
46589,3064978
19121,3064978
3594,3064978
2591,3064978
1741,3064978
1663,3064978
1275,3064978
1212,3064978
3594,3064933
1741,3064933
1212,3064933
538,3064933
359,3064933
44229,3064703
9965,3064703
1663,3064703
1242,3064703
538,3064703
508,3064703
13799,3064428
1741,3064428
1212,3064428
538,3064428
508,3064428
34221,3063523
529,3063523
51449,3063478
9965,3063478
3594,3063478
1990,3063478
1979,3063478
1663,3063478
1212,3063478
1165,3063478
1025,3063478
538,3063478
508,3063478
505,3063478
51201,3063313
19121,3063313
15477,3063313
12989,3063313
9965,3063313
1979,3063313
1741,3063313
1503,3063313
1457,3063313
1275,3063313
1212,3063313
538,3063313
508,3063313
1255,3061884
538,3061884
378,3061884
1979,3073308
1212,3073308
538,3073308
359,3073308
22126,3061219
13726,3061219
9965,3061219
9677,3061219
1255,3061219
1242,3061219
1165,3061219
538,3061219
508,3061219
378,3061219
3594,3061214
1741,3061214
1212,3061214
538,3061214
1503,3061194
1212,3061194
538,3061194
378,3061194
13679,3060984
3594,3060984
2926,3060984
2221,3060984
1663,3060984
1503,3060984
1275,3060984
1212,3060984
538,3060984
508,3060984
1663,3063353
1457,3063353
1275,3063353
1212,3063353
508,3063353
3594,3060894
2868,3060894
2591,3060894
1741,3060894
1663,3060894
1212,3060894
